G,ECODE,BP_PRE_1900,BP_1900_1918,BP_1919_1929,BP_1930_1939,BP_1945_1954,BP_1955_1964,BP_1965_1972,BP_1973_1982,BP_1983_1992,BP_1993_1999,BP_2000_2009,BP_2010_2015,BP_UNKNOWN,ALL_PROPERTIES
ENGWAL,K04000001,4106560,1405480,1297020,2665810,1740680,2666790,2558470,2400530,1854780,1345210,1873070,727980,326290,24968660
ENGWAL,K04000001,1293480,444750,382310,491460,641010,619580,589890,610890,329000,174490,232880,109170,87470,6006370
ENGWAL,K04000001,742780,285400,247080,529190,407010,477000,510950,529680,398770,239180,360100,148850,51680,4927690
ENGWAL,K04000001,666900,250780,264800,611130,352410,715290,688720,546640,404360,281060,430980,174370,51880,5439300
ENGWAL,K04000001,521520,182420,181330,486790,190930,440890,401860,335730,307790,255800,367270,136170,44010,3852510
ENGWAL,K04000001,364010,112060,109390,311950,77590,232160,211110,209380,224350,200110,246460,83510,35360,2417450
ENGWAL,K04000001,234090,66320,59610,139230,41800,111780,97670,105310,118500,114840,136470,42940,24290,1292820
ENGWAL,K04000001,224860,53950,44560,84300,27000,63650,53430,58040,65600,70410,82800,25660,23160,877420
ENGWAL,K04000001,57160,9370,7690,11490,2790,6250,4670,4610,6140,9000,15390,7080,8030,149660
ENGWAL,K04000001,1750,420,250,280,150,200,180,240,280,330,730,240,410,5450
NATL,E92000001,3777670,1292360,1230210,2589320,1645070,2527010,2422780,2274230,1761390,1266540,1768920,689660,306820,23551980
NATL,E92000001,1226940,424640,375300,486010,623390,596150,569630,591300,318490,168360,227980,105670,82370,5796220
NATL,E92000001,660080,249910,226560,515830,372840,444730,488560,508480,384850,229480,353370,144180,49290,4628160
NATL,E92000001,606100,225590,247760,591880,327520,681500,656670,518920,385080,261790,413410,165660,49400,5131260
NATL,E92000001,477210,168930,172660,471920,181840,418370,372260,312450,291110,241580,346180,128570,41640,3624710
NATL,E92000001,327840,102380,102820,300420,73300,217280,192350,190400,207310,186060,220580,76690,32620,2230040
NATL,E92000001,212870,61060,55520,130980,38090,103150,89280,95060,108140,105100,119250,38390,22270,1179160
NATL,E92000001,213010,51290,42490,81470,25630,60310,50030,53920,61090,66020,74470,23920,21730,825360
NATL,E92000001,53620,8560,7090,10810,2470,5530,4000,3710,5320,8160,13690,6600,7510,137070
NATL,W92000004,327350,112860,66730,76370,95520,139620,135570,126100,92880,77920,102950,33800,18980,1406640
NATL,W92000004,66180,19990,6990,5430,17600,23380,20230,19520,10280,6040,4730,2780,4970,208090
NATL,W92000004,82460,35430,20510,13330,34160,32250,22360,21180,13840,9610,6520,3460,2320,297430
NATL,W92000004,60570,25170,17030,19240,24870,33760,32040,27690,19230,19020,17290,7540,2430,305870
NATL,W92000004,44110,13470,8660,14840,9080,22490,29580,23270,16640,14090,20880,6790,2310,226210
NATL,W92000004,35940,9670,6560,11510,4280,14860,18740,18950,16980,13960,25730,6470,2680,186330
NATL,W92000004,21100,5250,4080,8250,3700,8620,8380,10240,10330,9670,17120,4420,1970,113100
NATL,W92000004,11750,2660,2070,2820,1370,3330,3400,4110,4490,4360,8280,1650,1390,51680
