GEOGRAPHY,ECODE,AREA_NAME,BAND,BP_PRE_1900,BP_1900_1918,BP_1919_1929,BP_1930_1939,BP_1945_1954,BP_1955_1964,BP_1965_1972,BP_1973_1982,BP_1983_1992,BP_1993_1999,BP_2000_2009,BP_2010_2015,BP_UNKNOWN,ALL_PROPERTIES
ENGWAL,K04000001,ENGLAND AND WALES,All,"4,106,560","1,405,480","1,297,020","2,665,810","1,740,680","2,666,790","2,558,470","2,400,530","1,854,780","1,345,210","1,873,070","727,980","326,290","24,968,660"
ENGWAL,K04000001,ENGLAND AND WALES,A,"1,293,480","444,750","382,310","491,460","641,010","619,580","589,890","610,890","329,000","174,490","232,880","109,170","87,470","6,006,370"
ENGWAL,K04000001,ENGLAND AND WALES,B,"742,780","285,400","247,080","529,190","407,010","477,000","510,950","529,680","398,770","239,180","360,100","148,850","51,680","4,927,690"
ENGWAL,K04000001,ENGLAND AND WALES,C,"666,900","250,780","264,800","611,130","352,410","715,290","688,720","546,640","404,360","281,060","430,980","174,370","51,880","5,439,300"
ENGWAL,K04000001,ENGLAND AND WALES,D,"521,520","182,420","181,330","486,790","190,930","440,890","401,860","335,730","307,790","255,800","367,270","136,170","44,010","3,852,510"
ENGWAL,K04000001,ENGLAND AND WALES,E,"364,010","112,060","109,390","311,950","77,590","232,160","211,110","209,380","224,350","200,110","246,460","83,510","35,360","2,417,450"
ENGWAL,K04000001,ENGLAND AND WALES,F,"234,090","66,320","59,610","139,230","41,800","111,780","97,670","105,310","118,500","114,840","136,470","42,940","24,290","1,292,820"
ENGWAL,K04000001,ENGLAND AND WALES,G,"224,860","53,950","44,560","84,300","27,000","63,650","53,430","58,040","65,600","70,410","82,800","25,660","23,160","877,420"
ENGWAL,K04000001,ENGLAND AND WALES,H,"57,160","9,370","7,690","11,490","2,790","6,250","4,670","4,610","6,140","9,000","15,390","7,080","8,030","149,660"
ENGWAL,K04000001,ENGLAND AND WALES,I,"1,750",420,250,280,150,200,180,240,280,330,730,240,410,"5,450"
NATL,E92000001,ENGLAND,All,"3,777,670","1,292,360","1,230,210","2,589,320","1,645,070","2,527,010","2,422,780","2,274,230","1,761,390","1,266,540","1,768,920","689,660","306,820","23,551,980"
NATL,E92000001,ENGLAND,A,"1,226,940","424,640","375,300","486,010","623,390","596,150","569,630","591,300","318,490","168,360","227,980","105,670","82,370","5,796,220"
NATL,E92000001,ENGLAND,B,"660,080","249,910","226,560","515,830","372,840","444,730","488,560","508,480","384,850","229,480","353,370","144,180","49,290","4,628,160"
NATL,E92000001,ENGLAND,C,"606,100","225,590","247,760","591,880","327,520","681,500","656,670","518,920","385,080","261,790","413,410","165,660","49,400","5,131,260"
NATL,E92000001,ENGLAND,D,"477,210","168,930","172,660","471,920","181,840","418,370","372,260","312,450","291,110","241,580","346,180","128,570","41,640","3,624,710"
NATL,E92000001,ENGLAND,E,"327,840","102,380","102,820","300,420","73,300","217,280","192,350","190,400","207,310","186,060","220,580","76,690","32,620","2,230,040"
NATL,E92000001,ENGLAND,F,"212,870","61,060","55,520","130,980","38,090","103,150","89,280","95,060","108,140","105,100","119,250","38,390","22,270","1,179,160"
NATL,E92000001,ENGLAND,G,"213,010","51,290","42,490","81,470","25,630","60,310","50,030","53,920","61,090","66,020","74,470","23,920","21,730","825,360"
NATL,E92000001,ENGLAND,H,"53,620","8,560","7,090","10,810","2,470","5,530","4,000","3,710","5,320","8,160","13,690","6,600","7,510","137,070"
NATL,W92000004,WALES,All,"327,350","112,860","66,730","76,370","95,520","139,620","135,570","126,100","92,880","77,920","102,950","33,800","18,980","1,406,640"
NATL,W92000004,WALES,A,"66,180","19,990","6,990","5,430","17,600","23,380","20,230","19,520","10,280","6,040","4,730","2,780","4,970","208,090"
NATL,W92000004,WALES,B,"82,460","35,430","20,510","13,330","34,160","32,250","22,360","21,180","13,840","9,610","6,520","3,460","2,320","297,430"
NATL,W92000004,WALES,C,"60,570","25,170","17,030","19,240","24,870","33,760","32,040","27,690","19,230","19,020","17,290","7,540","2,430","305,870"
NATL,W92000004,WALES,D,"44,110","13,470","8,660","14,840","9,080","22,490","29,580","23,270","16,640","14,090","20,880","6,790","2,310","226,210"
NATL,W92000004,WALES,E,"35,940","9,670","6,560","11,510","4,280","14,860","18,740","18,950","16,980","13,960","25,730","6,470","2,680","186,330"
NATL,W92000004,WALES,F,"21,100","5,250","4,080","8,250","3,700","8,620","8,380","10,240","10,330","9,670","17,120","4,420","1,970","113,100"
NATL,W92000004,WALES,G,"11,750","2,660","2,070","2,820","1,370","3,330","3,400","4,110","4,490","4,360","8,280","1,650","1,390","51,680"
NATL,W92000004,WALES,H,"3,510",810,600,670,320,720,660,900,820,840,"1,680",460,510,"12,500"
NATL,W92000004,WALES,I,"1,740",420,250,280,150,200,180,240,280,330,720,240,410,"5,430"
REGL,E12000001,NORTH EAST,All,"152,880","83,080","68,290","133,840","114,900","148,910","131,920","120,460","75,340","57,960","77,170","30,930","4,980","1,200,670"
REGL,E12000001,NORTH EAST,A,"99,330","58,450","48,550","72,680","95,360","87,360","70,580","65,740","24,710","13,560","13,450","6,920","1,550","658,240"
REGL,E12000001,NORTH EAST,B,"19,970","10,490","8,120","24,460","10,010","16,190","20,570","22,040","13,630","10,050","18,160","9,990",900,"184,580"
REGL,E12000001,NORTH EAST,C,"12,700","6,570","6,860","23,070","5,550","31,500","25,820","16,290","12,810","12,160","16,150","6,370",790,"176,630"
REGL,E12000001,NORTH EAST,D,"8,250","3,930","2,510","8,980","2,070","8,970","8,720","8,790","12,760","12,020","15,320","3,950",740,"97,010"
REGL,E12000001,NORTH EAST,E,"5,940","1,910","1,220","2,780",990,"3,060","3,930","4,700","7,380","6,400","8,290","2,100",410,"49,110"
REGL,E12000001,NORTH EAST,F,"3,660","1,010",580,"1,100",550,"1,220","1,700","1,980","2,820","2,290","3,290",940,230,"21,370"
