"","MSOA11CD","mixed","ba_norm","r_norm","Ppla_norm","index","o_flow","d_flow","sumod","logsumod","cluster","MSOA11NM","POPDEN","area","flowden"
"1","E02000001",0.40009494746268,0.38828999788574,0.896991659232181,0.09250920998772,1.77788581456832,198842,789,199631,12.2042259414213,3,"City of London 001",25.5,2905399.30707842,0.00269452348515183
"2","E02000002",0.03227298622265,0.435683715629674,0.173543689060253,0.116250511665984,0.757750902578561,98,691,789,6.67076632084587,4,"Barking and Dagenham 001",31.3,2165633.76630671,1.16398571742898e-05
"3","E02000003",0.0765954394393149,0.665055959341241,0.194696626842589,0.180106426524765,1.11645445214791,1162,1763,2925,7.98104975966596,4,"Barking and Dagenham 002",46.9,2143564.9988797,2.90948666228769e-05
"4","E02000004",0.0181807962670117,0.5190735992564,0.18314697923027,0.089643880474826,0.810045255228507,161,845,1006,6.91373735065968,4,"Barking and Dagenham 003",24.8,2490215.44615202,1.6289560885872e-05
"5","E02000005",0.0831322746614332,0.770590118138089,0.333348411365462,0.283258288988948,1.47032909315393,121,1229,1350,7.20785987143248,4,"Barking and Dagenham 004",72.1,1186179.92696046,1.57851216553035e-05
"6","E02000007",0.0541919959803159,0.539214725005086,0.231457922063679,0.195251739664347,1.02011638271343,1305,1261,2566,7.85010354517558,4,"Barking and Dagenham 006",50.6,1733915.75453724,2.92467856745019e-05
"7","E02000008",0.0566055143311376,0.728968700779184,0.300585109748882,0.321735571019239,1.40789489587844,509,2062,2571,7.85205020726589,4,"Barking and Dagenham 007",81.5,1419308.8130554,2.22263202903873e-05
"8","E02000009",0.0943500544693139,0.497910322418361,0.354586568868997,0.345886205485059,1.29273315124173,81,1316,1397,7.24208235925696,4,"Barking and Dagenham 008",87.4,965621.951013893,1.65530430170739e-05
"9","E02000010",0.0565126992425691,0.716257348350748,0.271890171534037,0.302496930004093,1.34715714913145,126,1240,1366,7.21964204013074,4,"Barking and Dagenham 009",76.8,1120326.01492138,1.58761450653107e-05
"10","E02000011",0.0796697647583246,0.496147459115519,0.197575883831138,0.146950470732706,0.920343578437687,606,818,1424,7.26122509197192,4,"Barking and Dagenham 010",38.8,1602157.0004439,2.29072624703238e-05
"11","E02000012",0.0576523406511535,0.606241937171664,0.305465215523031,0.299222267703643,1.26858176104949,207,1545,1752,7.46851327149634,4,"Barking and Dagenham 011",76,1299786.8905789,1.77357009414676e-05
"12","E02000013",0.0665655549277878,0.724443910681698,0.300832358220805,0.251739664347114,1.34358148817741,175,1234,1409,7.25063551189868,4,"Barking and Dagenham 012",64.4,1300097.74012613,1.68286439644569e-05
"13","E02000014",0.0860006913808913,0.670532115986099,0.342652442665661,0.310683585755219,1.40986883578787,352,1422,1774,7.48099216286952,4,"Barking and Dagenham 013",78.8,1194288.51595036,1.88502945935265e-05
"14","E02000015",0.0791558943086461,0.392667344652192,0.316465282646057,0.215309046254605,1.0035975678615,256,1011,1267,7.14440718032114,4,"Barking and Dagenham 014",55.5,1358869.63965889,1.67998667146317e-05
"15","E02000016",0.257597865956132,0.544474446885846,0.516662798124812,0.342611543184609,1.6613466541514,3275,1038,4313,8.36938899664784,4,"Barking and Dagenham 015",86.6,880761.69938961,5.65461636043332e-05
"16","E02000017",0.101957505604263,0.604590794325173,0.34330055345341,0.385182153090463,1.43503100647331,211,1110,1321,7.18614430452233,4,"Barking and Dagenham 016",97,879263.261747468,1.54885997101313e-05
"17","E02000018",0.0446398145197845,0.618098155721869,0.318807843351028,0.256242325010233,1.23778813860292,94,1218,1312,7.17930796950403,4,"Barking and Dagenham 017",65.5,1362875.16907769,1.46972626735143e-05
"18","E02000019",0.0460885170309399,0.577314438132697,0.278860303361057,0.0994678673761768,1.00173112590087,1278,1149,2427,7.7944112057266,4,"Barking and Dagenham 018",27.2,3046746.6717466,2.92863013534758e-05
"19","E02000020",0.0557718407610219,0.573513919586456,0.284099768173966,0.0990585345886206,1.01244406311006,1791,1333,3124,8.04686951095958,4,"Barking and Dagenham 019",27.1,3416798.36721974,3.37382369043125e-05
"20","E02000021",0.0423222200413748,0.649091003236943,0.204487930750446,0.100286532951289,0.996187686980053,1388,1121,2509,7.82763954636642,4,"Barking and Dagenham 020",27.4,2872026.55473669,3.18831812034164e-05
"21","E02000022",0.136479968830274,0.313535901848673,0.523636718343862,0.467867376176832,1.44151996519964,462,906,1368,7.2211050981825,4,"Barking and Dagenham 021",117.2,753371.509776996,1.54934913217791e-05
"22","E02000023",0.0740289690999187,0.380871596385998,0.361429523370378,0.139991813344249,0.956321902200544,587,759,1346,7.20489251020467,4,"Barking and Dagenham 022",37.1,1738872.91203974,2.086427547346e-05
"23","E02000024",0.0659790488691494,0.71138202512195,0.191020945873326,0.0990585345886206,1.06744055445305,1602,1461,3063,8.02715010683277,4,"Barnet 001",27.1,3754702.20624041,3.01024752563468e-05
"24","E02000025",0.0528762237129425,0.558635706615256,0.263108880128236,0.123618501841998,0.998239312298433,235,1204,1439,7.27170370688737,4,"Barnet 002",33.1,2401892.2695197,1.8100029211712e-05
"25","E02000026",0.0508406185194226,0.421699876034901,0.37905230421214,0.164551780597626,1.01614457936409,68,605,673,6.51174532964473,4,"Barnet 003",43.1,1470182.01797818,1.06210312716305e-05
"26","E02000027",0.0550039799319131,0.394710979259194,0.422542294468817,0.222677036430618,1.09493429009054,880,1327,2207,7.69938940625674,4,"Barnet 004",57.3,1676496.86718452,2.29744416232139e-05
