"","origin_i","origin_msoacode","destination_j","destination_msoacode","car","OD","bus","rail","flow","lon_o","lat_o","lon_d","lat_d","cluster"
"1",0,"E02000001",187,"E02000193",11,"E02000001E02000193",56,186,253,5.32482703977,1.81269310018,5.3036714957,1.81625483058,2
"2",0,"E02000001",939,"E02000972",33,"E02000001E02000972",58,313,404,5.32482703977,1.81269310018,5.2918060312,1.81227810857,2
"3",0,"E02000001",944,"E02000977",47,"E02000001E02000977",70,231,348,5.32482703977,1.81269310018,5.29630668651,1.80417984158,2
"4",0,"E02000001",946,"E02000979",43,"E02000001E02000979",41,394,478,5.32482703977,1.81269310018,5.29590986513,1.79421287787,2
"5",0,"E02000001",6711,"E02006854",25,"E02000001E02006854",28,569,622,5.32482703977,1.81269310018,5.37419614025,1.80220296678,2
"6",116,"E02000119",939,"E02000972",1,"E02000119E02000972",1,2,4,5.20089813016,1.83435281829,5.2918060312,1.81227810857,2
"7",166,"E02000172",187,"E02000193",2,"E02000172E02000193",8,3,13,5.28505667194,1.8506869206,5.3036714957,1.81625483058,2
"8",167,"E02000173",939,"E02000972",1,"E02000173E02000972",6,7,14,5.26757640068,1.85085627708,5.2918060312,1.81227810857,2
"9",168,"E02000174",939,"E02000972",1,"E02000174E02000972",2,1,4,5.29332504159,1.84940832372,5.2918060312,1.81227810857,2
"10",176,"E02000182",946,"E02000979",2,"E02000182E02000979",1,1,4,5.26923522588,1.84047219388,5.29590986513,1.79421287787,2
"11",178,"E02000184",939,"E02000972",1,"E02000184E02000972",6,2,9,5.29358079472,1.83919018558,5.2918060312,1.81227810857,2
"12",178,"E02000184",946,"E02000979",1,"E02000184E02000979",1,3,5,5.29358079472,1.83919018558,5.29590986513,1.79421287787,2
"13",180,"E02000186",187,"E02000193",2,"E02000186E02000193",11,3,16,5.28792838992,1.83203771178,5.3036714957,1.81625483058,2
"14",180,"E02000186",939,"E02000972",5,"E02000186E02000972",5,1,11,5.28792838992,1.83203771178,5.2918060312,1.81227810857,2
"15",180,"E02000186",946,"E02000979",2,"E02000186E02000979",9,15,26,5.28792838992,1.83203771178,5.29590986513,1.79421287787,2
"16",182,"E02000188",939,"E02000972",1,"E02000188E02000972",2,1,4,5.291927676,1.8275229481,5.2918060312,1.81227810857,2
"17",185,"E02000191",187,"E02000193",3,"E02000191E02000193",25,7,35,5.29550424844,1.82038357623,5.3036714957,1.81625483058,2
"18",185,"E02000191",939,"E02000972",2,"E02000191E02000972",9,10,21,5.29550424844,1.82038357623,5.2918060312,1.81227810857,2
"19",185,"E02000191",944,"E02000977",2,"E02000191E02000977",2,5,9,5.29550424844,1.82038357623,5.29630668651,1.80417984158,2
"20",185,"E02000191",946,"E02000979",1,"E02000191E02000979",7,14,22,5.29550424844,1.82038357623,5.29590986513,1.79421287787,2
