"","origin_i","origin_msoacode","destination_j","destination_msoacode","car","OD","bus","rail","flow","lon_o","lat_o","lon_d","lat_d","cluster"
"1",185,"E02000191",0,"E02000001",2,"E02000191E02000001",9,28,39,5.29550424844,1.82038357623,5.32482703977,1.81269310018,3
"2",186,"E02000192",0,"E02000001",2,"E02000192E02000001",2,7,11,5.3101248817,1.81974945218,5.32482703977,1.81269310018,3
"3",187,"E02000193",0,"E02000001",5,"E02000193E02000001",27,27,59,5.3036714957,1.81625483058,5.32482703977,1.81269310018,3
"4",348,"E02000363",0,"E02000001",4,"E02000363E02000001",1,1,6,5.3553170574,1.84909825031,5.32482703977,1.81269310018,3
"5",356,"E02000371",0,"E02000001",3,"E02000371E02000001",4,14,21,5.33180882373,1.82696590372,5.32482703977,1.81269310018,3
"6",554,"E02000575",0,"E02000001",6,"E02000575E02000001",3,11,20,5.31606973258,1.82381685225,5.32482703977,1.81269310018,3
"7",567,"E02000588",0,"E02000001",2,"E02000588E02000001",2,8,12,5.27640122083,1.79109918195,5.32482703977,1.81269310018,3
"8",778,"E02000808",0,"E02000001",5,"E02000808E02000001",11,7,23,5.32166446885,1.80073992834,5.32482703977,1.81269310018,3
"9",779,"E02000809",0,"E02000001",1,"E02000809E02000001",5,12,18,5.33455150719,1.79816456749,5.32482703977,1.81269310018,3
"10",846,"E02000878",0,"E02000001",2,"E02000878E02000001",2,2,6,5.33894896022,1.81772852818,5.32482703977,1.81269310018,3
"11",858,"E02000890",0,"E02000001",1,"E02000890E02000001",1,4,6,5.34355486852,1.80403078627,5.32482703977,1.81269310018,3
"12",859,"E02000891",0,"E02000001",1,"E02000891E02000001",4,7,12,5.38391895142,1.80308514242,5.32482703977,1.81269310018,3
"13",937,"E02000970",0,"E02000001",3,"E02000970E02000001",2,30,35,5.28366143049,1.81393658723,5.32482703977,1.81269310018,3
"14",938,"E02000971",0,"E02000001",1,"E02000971E02000001",2,8,11,5.27625532345,1.81524749916,5.32482703977,1.81269310018,3
"15",939,"E02000972",0,"E02000001",4,"E02000972E02000001",21,57,82,5.2918060312,1.81227810857,5.32482703977,1.81269310018,3
"16",944,"E02000977",0,"E02000001",8,"E02000977E02000001",19,43,70,5.29630668651,1.80417984158,5.32482703977,1.81269310018,3
"17",945,"E02000978",0,"E02000001",2,"E02000978E02000001",2,8,12,5.27332931023,1.79978296913,5.32482703977,1.81269310018,3
"18",946,"E02000979",0,"E02000001",3,"E02000979E02000001",5,44,52,5.29590986513,1.79421287787,5.32482703977,1.81269310018,3
"19",6658,"E02006801",0,"E02000001",2,"E02006801E02000001",8,6,16,5.31004437601,1.79734087706,5.32482703977,1.81269310018,3
"20",6711,"E02006854",0,"E02000001",9,"E02006854E02000001",3,101,113,5.37419614025,1.80220296678,5.32482703977,1.81269310018,3
