"","MSOA11CD","MSOA11NM","POPDEN","o_dis","d_dis","od_dis"
"1","E02000001","City of London 001",25.5,4526.95887413954,4284.56058082303,8811.51945496257
"2","E02000002","Barking and Dagenham 001",31.3,2878.63970137948,2863.87649332208,5742.51619470156
"3","E02000003","Barking and Dagenham 002",46.9,3092.60055631999,3093.79716891378,6186.39772523377
"4","E02000004","Barking and Dagenham 003",24.8,2691.00363243105,2665.52053784329,5356.52417027435
"5","E02000005","Barking and Dagenham 004",72.1,3168.68402416157,3192.12956501994,6360.81358918151
"6","E02000007","Barking and Dagenham 006",50.6,3146.4999549462,3082.21537021633,6228.71532516253
"7","E02000008","Barking and Dagenham 007",81.5,3224.66663916609,3222.68898889186,6447.35562805795
"8","E02000009","Barking and Dagenham 008",87.4,3362.95479334742,3329.21615582199,6692.17094916941
"9","E02000010","Barking and Dagenham 009",76.8,3017.33738244324,3001.01581864814,6018.35320109138
"10","E02000011","Barking and Dagenham 010",38.8,2869.68221259326,2848.46048844507,5718.14270103834
"11","E02000012","Barking and Dagenham 011",76,3630.44484253694,3546.55833805074,7177.00318058769
"12","E02000013","Barking and Dagenham 012",64.4,3225.0538725228,3206.87182233234,6431.92569485514
"13","E02000014","Barking and Dagenham 013",78.8,3093.94328961777,3067.09174477196,6161.03503438973
"14","E02000015","Barking and Dagenham 014",55.5,2863.62685493631,2828.31294600193,5691.93980093825
"15","E02000016","Barking and Dagenham 015",86.6,4069.80250793972,4009.17428220841,8078.97679014814
"16","E02000017","Barking and Dagenham 016",97,3882.54060990588,3783.20631228609,7665.74692219196
"17","E02000018","Barking and Dagenham 017",65.5,3424.62227667381,3333.52230366095,6758.14458033476
"18","E02000019","Barking and Dagenham 018",27.2,2919.88955785318,3015.75747899958,5935.64703685276
"19","E02000020","Barking and Dagenham 019",27.1,3242.50547546347,3228.2576591485,6470.76313461197
"20","E02000021","Barking and Dagenham 020",27.4,2906.02180392718,2909.72409873577,5815.74590266295
"21","E02000022","Barking and Dagenham 021",117.2,3890.68819399753,3757.23492601742,7647.92312001495
"22","E02000023","Barking and Dagenham 022",37.1,3097.05990978796,3100.67882142946,6197.73873121742
"23","E02000024","Barnet 001",27.1,2826.44108217997,2856.245292849,5682.68637502897
"24","E02000025","Barnet 002",33.1,2936.36566508414,2867.0083754213,5803.37404050544
"25","E02000026","Barnet 003",43.1,2734.38390388866,2672.9809449458,5407.36484883446
"26","E02000027","Barnet 004",57.3,2849.3344855954,2897.00936785578,5746.34385345118
"27","E02000028","Barnet 005",58.4,2995.45025238536,2981.0854389819,5976.53569136726
"28","E02000029","Barnet 006",50.6,3074.32076080574,3091.05199277323,6165.37275357897
"29","E02000030","Barnet 007",6.3,2588.96472170917,2645.49343894666,5234.45816065583
"30","E02000031","Barnet 008",37.6,3327.55845906159,3380.64421189823,6708.20267095982
"31","E02000032","Barnet 009",56.2,3192.06998510138,3231.11508545877,6423.18507056015
"32","E02000033","Barnet 010",48.1,3374.37072574005,3409.53847095013,6783.90919669018
"33","E02000034","Barnet 011",54.6,3353.94112254432,3392.88831502853,6746.82943757286
"34","E02000035","Barnet 012",61.4,3462.74578015963,3503.39324427419,6966.13902443382
"35","E02000036","Barnet 013",59.9,3196.40224491598,3170.63134191511,6367.03358683109
"36","E02000037","Barnet 014",22.5,3063.86501595691,3069.67304008309,6133.53805604001
"37","E02000038","Barnet 015",59.7,3654.45020793935,3698.73361079523,7353.18381873459
"38","E02000039","Barnet 016",31.3,3269.97704556069,3256.00570922569,6525.98275478638
"39","E02000040","Barnet 017",14,3169.11513254486,3144.58335779052,6313.69849033539
"40","E02000041","Barnet 018",65.3,3246.41574072072,3241.0954522223,6487.51119294302
"41","E02000042","Barnet 019",87.7,3627.20643031853,3640.9129859033,7268.11941622183
"42","E02000043","Barnet 020",52.4,3358.62690226515,3490.32104562758,6848.94794789273
"43","E02000044","Barnet 021",72.9,3367.1288808134,3357.76526898714,6724.89414980054
"44","E02000045","Barnet 022",59,3728.95456071103,3757.56492242902,7486.51948314006
"45","E02000046","Barnet 023",72.9,3804.51241074905,3747.45457999954,7551.96699074859
"46","E02000047","Barnet 024",80,3357.82268960668,3366.65729165623,6724.47998126292
"47","E02000048","Barnet 025",31.8,3397.50602700975,3453.99878952609,6851.50481653584
"48","E02000049","Barnet 026",107.9,3340.97861853583,3357.3951087122,6698.37372724803
"49","E02000050","Barnet 027",47.5,3745.48592808531,3774.21000747748,7519.6959355628
"50","E02000051","Barnet 028",59.7,3814.20741162445,3765.12907431316,7579.33648593762
"51","E02000052","Barnet 029",100.1,4042.97685247248,4010.43999435683,8053.41684682931
"52","E02000053","Barnet 030",56.1,3575.19970714392,3653.06903565487,7228.2687427988
"53","E02000054","Barnet 031",48,3684.01006169868,3720.7000980323,7404.71015973098
"54","E02000055","Barnet 032",77.3,3781.95995144201,3777.26922444259,7559.2291758846
"55","E02000056","Barnet 033",28.5,3911.99133984912,3883.08859587766,7795.07993572678
"56","E02000057","Barnet 034",68.4,3875.0760885162,3881.60752007299,7756.68360858919
"57","E02000058","Barnet 035",56.4,3838.77854473092,3826.27044678956,7665.04899152047
"58","E02000059","Barnet 036",47.7,3751.9108281252,3742.84423900879,7494.75506713399
"59","E02000060","Barnet 037",88.6,3878.0530226796,3899.22931443263,7777.28233711223
"60","E02000061","Barnet 038",50.5,3894.58804942276,3856.00529006715,7750.59333948991
"61","E02000062","Barnet 039",34.5,3953.74433107841,3957.03720828498,7910.78153936339
"62","E02000063","Barnet 040",67.2,3936.3990012765,3951.98574556121,7888.38474683771
"63","E02000064","Barnet 041",78.7,4082.15059464324,4154.23511872361,8236.38571336684
"64","E02000065","Bexley 001",23.9,2921.96533068876,2870.45689045596,5792.42222114472
"65","E02000066","Bexley 002",61.3,3075.82585838614,3072.51575063,6148.34160901615
"66","E02000067","Bexley 003",37.8,2773.07939190877,2759.70991495974,5532.7893068685
"67","E02000068","Bexley 004",32.5,2649.33371377837,2621.19235868222,5270.52607246059
"68","E02000069","Bexley 005",42.7,2840.53256613338,2841.76728127032,5682.2998474037
"69","E02000070","Bexley 006",42.4,3016.53896518723,3032.54914567925,6049.08811086649
"70","E02000071","Bexley 007",61.9,2767.28645768079,2750.89193442335,5518.17839210414
"71","E02000072","Bexley 008",26.8,2468.66053950376,2517.33395255038,4985.99449205414
"72","E02000073","Bexley 009",67,3225.79083213925,3193.12430031921,6418.91513245846
"73","E02000074","Bexley 010",67.8,2473.49548856532,2504.42492359318,4977.9204121585
"74","E02000075","Bexley 011",51.8,2961.53860536378,2960.80544405298,5922.34404941676
"75","E02000077","Bexley 013",70,3346.52671996747,3305.15215345915,6651.67887342662
"76","E02000078","Bexley 014",51.5,2732.80858029108,2777.79405992034,5510.60264021142
"77","E02000079","Bexley 015",47.7,3032.96177104558,3021.38971408536,6054.35148513095
"78","E02000080","Bexley 016",55.7,3413.01646134763,3350.25335433869,6763.26981568632
"79","E02000081","Bexley 017",34.1,2803.20940876354,2825.48984069331,5628.69924945685
"80","E02000082","Bexley 018",59.3,3364.21242163065,3298.72960088121,6662.94202251186
"81","E02000083","Bexley 019",26.1,2506.65244763322,2466.89489283002,4973.54734046324
"82","E02000084","Bexley 020",41,3102.7404589225,3065.7177942544,6168.4582531769
"83","E02000085","Bexley 021",48.6,3198.43524821843,3141.17391210042,6339.60916031885
"84","E02000086","Bexley 022",49.2,3134.82437129874,3130.68581087378,6265.51018217252
"85","E02000087","Bexley 023",20.4,2782.72630845331,2802.00582891358,5584.73213736689
"86","E02000088","Bexley 024",38.7,2942.16960021275,2971.98728780487,5914.15688801762
"87","E02000089","Bexley 025",56.9,3097.20883840519,3091.2504460439,6188.45928444909
"88","E02000090","Bexley 026",48.2,3107.57825541695,3097.04456287059,6204.62281828754
"89","E02000091","Bexley 027",35.4,2973.1974969779,2956.9332777109,5930.13077468881
"90","E02000092","Bexley 028",10.7,2729.46039894693,2731.98534968462,5461.44574863155
"91","E02000093","Brent 001",79,3342.51704242158,3362.65390428975,6705.17094671133
"92","E02000094","Brent 002",75.2,3562.35675514996,3616.9427559402,7179.29951109016
"93","E02000095","Brent 003",64.1,3387.27313351072,3405.25240897306,6792.52554248378
"94","E02000096","Brent 004",46.5,3348.12037437582,3374.76500332536,6722.88537770117
"95","E02000097","Brent 005",47.9,3507.51206035368,3525.25329321582,7032.7653535695
"96","E02000098","Brent 006",43.2,3356.29780715539,3343.15854223265,6699.45634938804
"97","E02000099","Brent 007",67.6,3290.69874424165,3330.16209251718,6620.86083675883
"98","E02000100","Brent 008",40.4,3281.93519382668,3278.51211885084,6560.44731267752
"99","E02000101","Brent 009",66.5,3420.52297144435,3380.38176651216,6800.90473795651
