,O,D,flow
1,E09000001,E09000001,165
2,E09000001,E09000002,2775
3,E09000001,E09000003,7635
4,E09000001,E09000004,5313
5,E09000001,E09000005,4033
6,E09000001,E09000006,8805
7,E09000001,E09000007,8439
8,E09000001,E09000008,5494
9,E09000001,E09000009,4174
10,E09000001,E09000010,4656
11,E09000001,E09000011,6612
12,E09000001,E09000012,5225
13,E09000001,E09000013,7690
14,E09000001,E09000014,5677
15,E09000001,E09000015,2220
16,E09000001,E09000016,5168
17,E09000001,E09000017,1142
18,E09000001,E09000018,2470
19,E09000001,E09000019,7551
20,E09000001,E09000020,10072
21,E09000001,E09000021,1305
22,E09000001,E09000022,10873
23,E09000001,E09000023,7328
24,E09000001,E09000024,4691
25,E09000001,E09000025,6438
26,E09000001,E09000026,6797
27,E09000001,E09000027,3135
28,E09000001,E09000028,8713
29,E09000001,E09000029,1908
30,E09000001,E09000030,10092
31,E09000001,E09000031,5589
32,E09000001,E09000032,15089
33,E09000001,E09000033,11568
34,E09000002,E09000002,8719
35,E09000002,E09000004,7
36,E09000002,E09000010,14
37,E09000002,E09000011,31
38,E09000002,E09000012,8
39,E09000002,E09000014,25
40,E09000002,E09000016,2774
41,E09000002,E09000023,4
42,E09000002,E09000025,1300
43,E09000002,E09000026,1799
44,E09000002,E09000028,3
45,E09000002,E09000030,65
46,E09000002,E09000031,109
47,E09000003,E09000003,19580
48,E09000003,E09000005,3137
49,E09000003,E09000007,387
50,E09000003,E09000008,4
51,E09000003,E09000009,97
52,E09000003,E09000010,1940
53,E09000003,E09000012,74
54,E09000003,E09000013,12
55,E09000003,E09000014,767
56,E09000003,E09000015,1906
57,E09000003,E09000017,10
58,E09000003,E09000018,10
59,E09000003,E09000019,173
60,E09000003,E09000020,8
61,E09000003,E09000022,8
62,E09000003,E09000026,11
63,E09000003,E09000028,3
64,E09000003,E09000030,5
65,E09000003,E09000031,75
66,E09000003,E09000033,63
67,E09000004,E09000004,14050
68,E09000004,E09000006,633
69,E09000004,E09000008,11
70,E09000004,E09000011,2539
71,E09000004,E09000012,3
72,E09000004,E09000016,12
73,E09000004,E09000022,8
74,E09000004,E09000023,276
75,E09000004,E09000025,16
76,E09000004,E09000028,29
77,E09000005,E09000002,13
78,E09000005,E09000003,1901
79,E09000005,E09000005,16979
80,E09000005,E09000007,304
